✔ SS

A1DL 마일3 어빈 토마스 휘리3 죠안나4 구스 아이멜 엘레노아3 섀넌 로디 아이다 아리아 레이첼3 팔만2 루티스 매드람4 루키어스 볼게이드3 = 164,000  ( 1번 )
A17T 어빈3 마일 게르드 휘리3 죠안나 구스4 아이멜 아이멜전무 엘레노아 섀넌 스텔라2 아이다2 사라 가웨인3 레이첼 베리어스5 팔만2 루티스4 매드람2 미첼2 루키어스 볼게이드 = 165,000  ( 2번 )

18Q 마일3 어빈 토마스 휘리5 구스2 아이멜2 엘레노아 로디 뮤즈4 아이다 아리아3 가웨인 레이첼 베리어스 루티스 매드람2 루키어스2 볼게이드 팔만전무 = 157,000  ( 3번 )

A1GC 마일3 마일전무 휘리4 죠안나 구스4 아이멜 엘레노아 섀넌 로디 아이다2 사라3 아리아 가웨인 레이첼5 베리어스 팔만2 루티스2 매드람 미첼2 볼게이드 = 149,000  ( 4번 )



✔ S

A1K8 마일2 게르드2 토마스 휘리8 구스2 아이멜 엘레노아 섀넌4 알토스2 아리아 가웨인 베리어스2 팔만 루티스 볼게이드2 = 131,000  ( 5번 )

A1G2 어빈2 게르드 휘리6 휘리전무 구스6 구스전무 아이멜 엘레노아4 섀넌 뮤즈 아이다2 사라2 가웨인 레이첼3 베리어스3 팔만2 매드람 미첼2 루키어스2 볼게이드2 아리아전무 = 132,000  ( 6번 )

A1EY 어빈2 어빈전무 마일 휘리5 휘리전무 죠안나2 구스3 아이멜3 엘레노아2 섀넌2 스텔라 로디 로디전무 뮤즈 아이다2 아이다전무 가웨인 레이첼 베리어스 팔만 매드람 미첼2 볼게이드3 = 117,000  ( 7번 )
14P 마일2 어빈 토마스2 휘리3 죠안나4 구스2 구스전무 아이멜 엘레노아2 섀넌3 스텔라 로디3 뮤즈3 아이다 사라2 아리아 가웨인 팔만 루티스2 매드람2 미첼2 루키어스 볼게이드2 = 121,000  ( 8번 )

A13A 어빈2 어빈전무 마일 게르드 휘리4 죠안나 구스3 아이멜2 엘레노아3 섀넌2 로디2 뮤즈 아이다2 사라 아리아 레이첼5 베리어스 팔만 루티스 매드람 미첼2 루키어스 볼게이드2 = 116,000  ( 9번 )
A1KJ 마일2 마일전무 게르드 토마스 휘리5 죠안나 구스4 아이멜2 엘레노아 섀넌2 알토스 뮤즈 아이다3 사라 아리아 가웨인 베리어스 매드람 미첼2 볼게이드 = 115,000  ( 10번 )

19D 어빈2 게르드3 휘리4 죠안나 구스2 아이멜2 아이멜전무 엘레노아3 섀넌 스텔라 로디 아이다 사라 아리아 가웨인 레이첼3 베리어스 팔만3 루티스3 매드람2 루키어스 볼게이드 = 124,000  ( 11번 )
A11C 어빈2 마일 토마스3 휘리2 죠안나4 구스 구스전무 아이멜3 아이멜전무 엘레노아 섀넌 알토스 스텔라 뮤즈 사라2 사라전무 아리아2 레이첼 베리어스2 팔만3 루티스2 매드람 미첼2 루키어스 볼게이드 아이다전무 = 124,000  ( 12번 )
A1FJ 마일2 어빈 토마스 휘리4 죠안나4 구스3 아이멜2 엘레노아 섀넌2 스텔라 뮤즈2 아이다 가웨인2 레이첼3 베리어스 팔만4 루티스 미첼 루키어스 = 111,000  ( 13번 )

1AI 어빈2 마일 마일전무 토마스 휘리8 구스4 아이멜 알토스 뮤즈2 아이다 사라 가웨인 레이첼 베리어스3 루티스 매드람3 미첼2 볼게이드2 = 109,000  ( 14번 )
A1MP 어빈2 어빈전무 마일 휘리8 휘리전무 죠안나2 구스2 아이멜2 섀넌 스텔라 로디 뮤즈2 아이다 사라3 아리아 가웨인2 레이첼3 팔만 루티스2 미첼 = 109,000  ( 15번 )
A1IZ 마일2 마일전무 휘리6 죠안나3 구스3 아이멜2 엘레노아 섀넌3 스텔라 로디 아이다3 사라2 아리아 가웨인 레이첼 베리어스 베리어스전무 팔만 루티스 매드람3 볼게이드 = 109,000  ( 16번 )
A7YS 마일2 게르드 토마스 토마스전무 휘리2 죠안나3 구스4 아이멜4 엘레노아 섀넌 알토스 뮤즈2 아이다2 사라3 아리아3 가웨인 레이첼3 베리어스2 팔만6 루티스 매드람2 미첼3 루키어스2 볼게이드 = 114,000  ( 17번 )

A1JX 어빈2 게르드 토마스 휘리2 죠안나2 구스2 아이멜3 엘레노아2 섀넌4 알토스 스텔라 뮤즈 아이다 아리아3 레이첼2 팔만2 루티스 미첼2 루키어스 루키어스전무 볼게이드 = 104,000  ( 18번 )
18B 마일2 어빈 휘리7 구스4 아이멜2 엘레노아2 뮤즈2 아이다 사라 아리아2 가웨인2 레이첼 베리어스 팔만 루티스 루티스전무 매드람2 미첼 루키어스2 루키어스전무 볼게이드 = 106,000  ( 19번 )
A18C 어빈2 게르드2 게르드전무 토마스 휘리3 휘리전무 구스3 아이멜 엘레노아 섀넌3 로디 뮤즈3 아리아 가웨인2 레이첼3 베리어스 팔만2 루티스4 미첼2 루키어스 볼게이드 = 105,000  ( 20번 )

A1GB 마일2 어빈 어빈전무 토마스 휘리6 구스5 엘레노아 알토스 뮤즈3 아이다3 사라 아리아2 레이첼 베리어스 팔만2 매드람3 미첼2 루키어스 볼게이드2 = 103,000  ( 21번 )
A1D3 어빈2 휘리7 휘리전무 죠안나2 구스5 아이멜 엘레노아 로디 뮤즈 아이다 사라 아리아 가웨인3 베리어스2 팔만2 팔만전무 매드람2 미첼4 볼게이드 = 101,000  ( 22번 )

191 마일2 마일전무 어빈 토마스2 휘리3 죠안나 구스3 아이멜2 엘레노아 섀넌 로디 뮤즈 아이다5 아리아2 레이첼2 팔만 루티스 매드람 미첼 루키어스2 볼게이드 = 100,000  ( 23번 )

17G 어빈2 휘리4 죠안나 구스4 아이멜2 엘레노아3 섀넌2 알토스 뮤즈 사라4 아리아 가웨인 레이첼 베리어스4 팔만2 팔만전무 매드람2 미첼2 루키어스 볼게이드2 = 96,000  ( 24번 )
1CD 어빈2 토마스 휘리6 죠안나 구스 아이멜3 엘레노아3 사라 가웨인 베리어스 팔만2 매드람 루키어스3 볼게이드2 = 91,000  ( 25번 )

A1C7 어빈2 휘리5 죠안나2 구스3 아이멜2 엘레노아 섀넌3 로디2 뮤즈2 아이다3 가웨인3 레이첼 팔만 루티스 매드람3 미첼 루키어스 볼게이드 = 95,000  ( 26번 )
7XK 어빈2 휘리3 죠안나2 구스5 구스전무2 아이멜3 엘레노아 섀넌 로디 사라3 아리아 가웨인2 레이첼2 베리어스2 팔만 루티스 매드람3 미첼 볼게이드3 = 93,000  ( 27번 )
A1CJ 마일2 게르드 휘리3 죠안나3 구스3 구스전무 아이멜2 엘레노아2 섀넌 스텔라 뮤즈2 아이다 사라3 아리아2 가웨인 매드람2 미첼 볼게이드 = 90,000  ( 28번 )

19I 어빈2 토마스 휘리2 죠안나2 구스5 아이멜2 섀넌3 스텔라 로디 뮤즈 아이다2 사라 아리아 가웨인2 레이첼3 베리어스 팔만2 루티스4 매드람4 미첼2 볼게이드 = 92,000  ( 29번 )
199 마일2 토마스 휘리4 휘리전무 죠안나4 구스 아이멜 엘레노아3 섀넌 뮤즈2 아리아2 가웨인 레이첼3 베리어스3 팔만 루티스 미첼 루키어스2 게르드전무 = 87,000  ( 30번 )

1BY 어빈2 휘리5 휘리전무 죠안나 구스4 아이멜2 섀넌2 로디 아이다4 사라 가웨인 레이첼 베리어스 베리어스전무 매드람 루키어스2 볼게이드 = 85,000  ( 31번 )
A1N3 마일2 어빈 휘리3 죠안나3 구스 아이멜4 엘레노아2 섀넌 로디2 아이다2 사라 가웨인2 레이첼 베리어스4 팔만 루티스 매드람 볼게이드 = 85,000  ( 32번 )
A12I 어빈2 어빈전무 마일 휘리2 죠안나2 구스4 아이멜2 섀넌3 스텔라2 로디 뮤즈 아이다 사라 아리아 레이첼2 레이첼전무 베리어스 팔만 루티스 미첼2 루키어스 볼게이드 엘레노아전무 = 84,000  ( 33번 )
A1HU 어빈2 마일 게르드 휘리4 죠안나 구스2 아이멜 엘레노아2 섀넌 로디 아이다 사라2 아리아2 가웨인2 레이첼2 베리어스2 팔만3 루티스 매드람6 미첼 볼게이드 = 86,000  ( 34번 )
1A7 마일2 휘리7 휘리전무 죠안나2 구스3 엘레노아 섀넌 로디 아이다2 사라 아리아 가웨인3 레이첼 베리어스 팔만2 매드람 미첼2 루키어스 볼게이드 = 85,000  ( 35번 )
1A2 마일2 게르드 휘리5 죠안나5 구스 섀넌3 로디4 뮤즈2 아이다3 사라2 아리아3 가웨인2 레이첼2 베리어스 매드람4 미첼 루키어스 = 89,000  ( 36번 )

A1FA 어빈2 마일 휘리4 죠안나 구스4 아이멜 아이멜전무 엘레노아2 로디 아이다 사라3 아리아2 가웨인4 레이첼2 베리어스 팔만 미첼3 루키어스3 볼게이드 = 85,000  ( 37번 )
A1D9 마일2 마일전무 어빈 휘리3 구스4 구스전무 아이멜 엘레노아3 알토스 로디 뮤즈 아이다3 아리아2 가웨인2 레이첼2 베리어스2 팔만 루티스2 매드람2 미첼 = 81,000  ( 38번 )

A17Q 어빈2 어빈전무 마일2 휘리2 죠안나 구스4 엘레노아 섀넌2 알토스 스텔라 로디 뮤즈2 사라3 아리아 가웨인 레이첼 베리어스 루티스5 매드람 미첼 루키어스 아이멜전무 = 80,000  ( 39번 )
A1IV 어빈2 마일 마일전무 휘리4 죠안나3 구스2 아이멜2 섀넌 로디2 뮤즈 아이다2 사라2 가웨인 레이첼 베리어스2 팔만3 루티스 매드람3 미첼2 루키어스 볼게이드 = 80,000  ( 40번 )
A1DH 어빈2 휘리4 휘리전무 죠안나 구스3 아이멜 엘레노아2 섀넌2 스텔라 뮤즈4 아이다2 가웨인3 매드람 미첼5 루키어스 볼게이드2 = 78,000  ( 41번 )

A1CP 마일2 게르드2 휘리 죠안나2 구스5 구스전무 엘레노아2 로디 뮤즈2 사라 아리아 가웨인 베리어스3 팔만 루티스 매드람2 미첼4 루키어스2 볼게이드2 어빈전무 아이멜전무 = 77,000  ( 42번 )

A1E2 어빈2 어빈전무 마일 토마스 휘리3 구스2 구스전무 아이멜 엘레노아2 알토스 뮤즈 아이다2 사라2 아리아2 베리어스3 팔만2 팔만전무 루티스 매드람2 루키어스2 = 71,000  ( 43번 )
19V 마일2 게르드 휘리4 죠안나 구스3 아이멜 엘레노아2 뮤즈 아이다 사라 아리아 가웨인2 레이첼3 베리어스4 팔만2 매드람2 볼게이드 = 71,000  ( 44번 )

7XA 어빈2 어빈전무 마일 토마스 휘리2 죠안나2 구스 아이멜 엘레노아 섀넌2 뮤즈4 아이다3 사라2 아리아3 가웨인2 레이첼3 팔만3 루티스4 매드람2 볼게이드3 = 73,000  ( 45번 )
A1E1 어빈2 게르드2 휘리2 죠안나 구스2 아이멜2 엘레노아2 뮤즈2 아이다2 사라 아리아 가웨인2 베리어스3 팔만 루티스 미첼 = 65,000  ( 46번 )
A1D0 어빈2 휘리4 죠안나 구스3 엘레노아3 섀넌 스텔라 아이다3 사라6 아리아4 가웨인4 레이첼3 베리어스 베리어스전무 루티스4 매드람2 미첼 루키어스3 볼게이드 = 73,000  ( 47번 )

A1EP 어빈2 게르드 토마스 휘리3 휘리전무 죠안나 구스3 섀넌 뮤즈 아이다 사라 아리아2 가웨인 레이첼3 베리어스2 팔만 루티스3 매드람2 루키어스 = 64,000  ( 48번 )
17F 어빈2 게르드 휘리4 구스 아이멜3 엘레노아2 뮤즈5 사라3 아리아2 가웨인4 레이첼 레이첼전무 팔만 루티스 매드람2 루키어스 볼게이드2 = 68,000  ( 49번 )
A1CX 어빈2 마일 휘리5 죠안나 구스 엘레노아3 스텔라 로디 뮤즈2 뮤즈전무 아리아2 레이첼 팔만2 루티스3 매드람2 미첼4 루키어스 볼게이드 = 64,000  ( 50번 )
A1HW 어빈2 어빈전무 휘리5 구스 엘레노아3 섀넌2 로디2 뮤즈2 사라4 아리아 가웨인 레이첼2 팔만3 루티스 매드람 미첼4 루키어스 볼게이드 = 67,000  ( 51번 )
